Genotype,No. of Plants,Ros_Exp,Ros_Model,Caul_Exp,Caul_Model,Set
Col,12,7.9,9,1.4,2,Training
35S:FT,10,4.4,3.3,1,1.5,Training
35S:LFY,11,3.8,4,1.8,1.6,Training
35S:TFL1,12,27.5,27.4,15.7,15.7,Training
lfy-12,9,13,13.5,5.3,6.4,Training
ft-10,10,36.4,36.4,9.3,9,Training
tfl-1,11,7.4,7.4,0.4,1.8,Training
fd-2,12,18.5,18,5.5,4.6,Training
fdp-1,10,11.2,9.7,2,2.2,Training
fd-2 fdp-1,10,32.9,32.8,6.3,8.1,Training
35S:TFL1 fd-2,12,23.8,24.4,8.2,5.4,Training
tfl1-1 fd-2,12,14.4,14.6,4.6,4.1,Training
35S:FT fd-2,12,8.3,7.7,2.4,3.5,Training
tfl1-1 fd-2 fdp-1,12,24.8,30.9,6.7,7.9,Prediction
35S:TFL1 fd-2 fdp-1,10,31.3,34.5,11,8.3,Prediction
35S:FT fd-2 fdp-1,12,26,28.6,6,7.9,Prediction
