"","Genotype","No..of.Plants","Ros_Exp","Ros_Model","Caul_Exp","Caul_Model","Set","pred_R","pred_C"
"1","Col",12,7.9,9,1.4,2,"Training",8.48853783209929,1.91556325660552
"2","35S:FT",10,4.4,3.3,1,1.5,"Training",2.97720171077487,1.49938075762512
"3","35S:LFY",11,3.8,4,1.8,1.6,"Training",4.13495654588141,1.65278431108958
"4","35S:TFL1",12,27.5,27.4,15.7,15.7,"Training",27.302116602741,15.8358485674642
"5","lfy-12",9,13,13.5,5.3,6.4,"Training",13.5171901096586,6.12965983753545
"6","ft-10",10,36.4,36.4,9.3,9,"Training",36.7939941697406,9.35089211049185
"7","tfl-1",11,7.4,7.4,0.4,1.8,"Training",8.00799077741721,1.87289028927295
"8","fd-2",12,18.5,18,5.5,4.6,"Training",15.0798968589756,3.6398977806176
"9","fdp-1",10,11.2,9.7,2,2.2,"Training",8.95057072873981,2.0389270080463
"10","fd-2 fdp-1",10,32.9,32.8,6.3,8.1,"Training",30.8882521228236,8.07834508529744
"11","35S:TFL1 fd-2",12,23.8,24.4,8.2,5.4,"Training",23.4870397783023,5.16859682880365
"12","tfl1-1 fd-2",12,14.4,14.6,4.6,4.1,"Training",14.588257437632,3.54432898314954
"13","35S:FT fd-2",12,8.3,7.7,2.4,3.5,"Training",4.75645749202483,2.26702217288789
